origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
28905432#0,-27588046#5,3.918316058785211,344.0,2248.0,5109.0,7480.0,9161.0,10470.0,11338.0,11828.0,12051.0,12126.0,12178
-101362555,-24549480#1,8.376049554952628,16.0,210.0,992.0,2493.0,4341.0,6220.0,7998.0,9431.0,10680.0,11676.0,15001
26682439,348439788#0,4.384419651643399,20.0,101.0,195.0,537.0,1869.0,2968.0,3711.0,4647.0,5203.0,5416.0,5471
561074654#0,42679013#1,3.146298790616178,4.0,18.0,49.0,170.0,448.0,830.0,1137.0,1159.0,1167.0,1167.0,1167
25334433#0,30092810#0,2.870666058646819,106.0,716.0,1976.0,3707.0,5567.0,7220.0,8635.0,9654.0,10374.0,10942.0,11721
25315120#0,27623929#2-AddedOnRampEdge,3.521609987045258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
127986200#0,-42246096,6.546560117458037,22.0,372.0,1476.0,3352.0,5715.0,8181.0,10131.0,11687.0,12827.0,13642.0,14986
-593761442#10,309769499,1.9724129954311465,2.0,4.0,4.0,18.0,31.0,42.0,46.0,88.0,130.0,200.0,4147
-8054837#1,-29072306#1,5.438726457320716,231.0,618.0,1567.0,3618.0,6190.0,8707.0,10759.0,12255.0,13167.0,13696.0,14302
24651363#3,27623929#2,10.435176329177164,10.0,98.0,422.0,1069.0,2110.0,3538.0,5204.0,6971.0,8699.0,10262.0,15001
-162228161,561074654#0,1.3844157620816424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
705793430#1,309769500#0,1.4858810106315647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
638029811#3,-25315120#1,14.11582266682774,1.0,42.0,456.0,1910.0,4233.0,6666.0,8747.0,10502.0,11907.0,12989.0,15001
25334431,23005145-AddedOnRampEdge,2.464732455454706,0.0,1.0,62.0,269.0,522.0,751.0,950.0,1035.0,1106.0,1152.0,1177
-271891970#1,-42784304#1,1.4482583925327053,35.0,201.0,856.0,1724.0,2193.0,2576.0,2880.0,3028.0,3072.0,3076.0,3076
42679013#0,42567976#0,1.4583528151504808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
