,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
0,28905432#0,-27588046#5,3.918316058785211,344.0,1904.0,2861.0,2371.0,1681.0,1309.0,868.0,490.0,223.0,75.0,12178
1,-101362555,-24549480#1,8.376049554952628,16.0,194.0,782.0,1501.0,1848.0,1879.0,1778.0,1433.0,1249.0,996.0,15001
2,26682439,348439788#0,4.384419651643399,20.0,81.0,94.0,342.0,1332.0,1099.0,743.0,936.0,556.0,213.0,5471
3,561074654#0,42679013#1,3.146298790616178,4.0,14.0,31.0,121.0,278.0,382.0,307.0,22.0,8.0,0.0,1167
4,25334433#0,30092810#0,2.870666058646819,106.0,610.0,1260.0,1731.0,1860.0,1653.0,1415.0,1019.0,720.0,568.0,11721
5,25315120#0,27623929#2-AddedOnRampEdge,3.521609987045258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,127986200#0,-42246096,6.546560117458037,22.0,350.0,1104.0,1876.0,2363.0,2466.0,1950.0,1556.0,1140.0,815.0,14986
7,-593761442#10,309769499,1.9724129954311465,2.0,2.0,0.0,14.0,13.0,11.0,4.0,42.0,42.0,70.0,4147
8,-8054837#1,-29072306#1,5.438726457320716,231.0,387.0,949.0,2051.0,2572.0,2517.0,2052.0,1496.0,912.0,529.0,14302
9,24651363#3,27623929#2,10.435176329177164,10.0,88.0,324.0,647.0,1041.0,1428.0,1666.0,1767.0,1728.0,1563.0,15001
10,-162228161,561074654#0,1.3844157620816424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,705793430#1,309769500#0,1.4858810106315647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,638029811#3,-25315120#1,14.11582266682774,1.0,41.0,414.0,1454.0,2323.0,2433.0,2081.0,1755.0,1405.0,1082.0,15001
13,25334431,23005145-AddedOnRampEdge,2.464732455454706,0.0,1.0,61.0,207.0,253.0,229.0,199.0,85.0,71.0,46.0,1177
14,-271891970#1,-42784304#1,1.4482583925327053,35.0,166.0,655.0,868.0,469.0,383.0,304.0,148.0,44.0,4.0,3076
15,42679013#0,42567976#0,1.4583528151504808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,-8055051#10,548944035#1-AddedOnRampEdge,1.243959444855646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,605896320#0,27184630#0,7.739690644321695,186.0,773.0,1041.0,1241.0,1243.0,1513.0,1634.0,1736.0,1582.0,1274.0,14846
18,636086687,-159915382,1.8355184386864345,1.0,1.0,2.0,1.0,1.0,4.0,4.0,13.0,10.0,20.0,1152
19,30095664-AddedOnRampEdge,-168436709,12.810981914295024,25.0,389.0,1354.0,1979.0,2418.0,2493.0,2103.0,1697.0,1218.0,691.0,15001
20,30642829#0,-352158878#5,1.4808200592484415,10.0,40.0,68.0,102.0,128.0,126.0,134.0,137.0,145.0,82.0,1086
21,642888629,-49773052#0,2.5734484712803463,152.0,671.0,1003.0,1154.0,856.0,469.0,181.0,58.0,17.0,4.0,4614
22,615563686#5,29072305,4.74669773241131,210.0,283.0,710.0,1406.0,1743.0,2016.0,1714.0,1474.0,1080.0,832.0,12588
23,28235866#0,8055446#0,3.537883817000161,174.0,812.0,1375.0,1711.0,1647.0,1361.0,1065.0,598.0,281.0,135.0,9232
24,30453877,761463237#0,1.534400371630777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,26682439,652731601#0,2.091981138537143,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9
26,-27647343#0,642888620#0,3.1695300969016733,30.0,203.0,430.0,773.0,1215.0,1527.0,1559.0,1483.0,1337.0,1227.0,14033
