origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
46201350#0,-158020275#4,2.726800898779487,379.0,1392.0,3219.0,4746.0,5708.0,6617.0,7428.0,8019.0,8319.0,8446.0,8491,0.39184326923944773
491331618#4,915119863#0,1.3198735389071317,2.0,7.0,29.0,111.0,270.0,671.0,1055.0,1398.0,1673.0,1806.0,1890,0.35654596139239214
549206863#0,706139037,2.059173447897464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.666772533874516
-705573917,-769920219#1,3.9564337338691913,162.0,573.0,1159.0,1948.0,2998.0,4246.0,5476.0,6590.0,7582.0,8341.0,9985,0.6395323258112326
24578989,491331618#4,0.692063259034679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.24430278994029883
225402530#1,-25163955#11,11.584981525243558,10.0,91.0,361.0,869.0,1510.0,2426.0,3447.0,4524.0,5591.0,6590.0,10001,0.7263260909579865
466171351,203478088#0,3.716215182029469,196.0,1241.0,3040.0,4744.0,6168.0,7337.0,8411.0,9162.0,9607.0,9838.0,9998,0.772464559293592
466171351,-705573917,3.001586936382417,462.0,1856.0,3282.0,4232.0,4895.0,5381.0,5673.0,5770.0,5795.0,5803.0,5807,0.5243048551891953
-27202663#2,22926846#0,3.9046749550486815,255.0,1066.0,1910.0,2705.0,3473.0,4208.0,5178.0,6324.0,7307.0,8265.0,9988,0.9612787835289723
22926846#0,466171351,4.046347822307566,236.0,1140.0,2859.0,5007.0,6904.0,8307.0,9181.0,9625.0,9835.0,9940.0,9999,0.9591762909214085
466171351,-886571928#1,3.350010189082605,370.0,1129.0,2285.0,3654.0,4957.0,6337.0,7542.0,8557.0,9257.0,9664.0,9984,0.5930140903170771
24695297#0,-25005050#1,1.5917728044312944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.5906103809628233
8169839,-769920219#1,0.6345465993997706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3,0.07532653520744617
-769920219#1,24701900#3,2.2490899505682944,28.0,91.0,255.0,516.0,887.0,1312.0,1739.0,2139.0,2526.0,2862.0,4451,0.3370464500074196
24909060#4,-705573917,5.107596678872739,185.0,815.0,1978.0,3550.0,5399.0,7082.0,8307.0,9097.0,9520.0,9754.0,9921,0.8882356229086684
-27202659#8,24701900#3,4.726034540975962,199.0,776.0,1447.0,2471.0,3738.0,5137.0,6579.0,7652.0,8491.0,9084.0,9976,0.9020845320130484
608929071#0,571680875#4,3.583209780885728,30.0,279.0,815.0,1510.0,2373.0,3250.0,4343.0,5396.0,6379.0,7288.0,9898,0.5646633562505169
24937323,549022166,1.269225594112071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.3000772238487668
-94342353#13,466171351,2.55075573545762,55.0,425.0,907.0,1665.0,2138.0,2411.0,2497.0,2507.0,2508.0,2508.0,2508,0.3743745572181969
24605118#0,43024557,4.583268137314263,108.0,382.0,818.0,1473.0,2234.0,3133.0,4054.0,4923.0,5693.0,6411.0,9989,0.7196004680109632
172496052#0,24695297#0,1.3378834241492337,4.0,19.0,66.0,145.0,237.0,326.0,411.0,477.0,520.0,529.0,529,0.38423258364187707
-24844937#7,753275599#0,2.4253748557025374,10.0,59.0,317.0,970.0,1953.0,2658.0,3110.0,3461.0,3679.0,3855.0,3992,0.11247228696008021
25006730#0,348439788#0,12.836925047383252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9563087964510502
