origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
272783623#0,286609080,1.0180386982226524,158,8.0,20.0,44.0,64.0,87.0,101.0,116.0,133.0,144.0,152.0
95111031,246809608#0,10.57865112450651,9993,1.0,30.0,289.0,902.0,1764.0,2793.0,3773.0,4641.0,5364.0,6028.0
386676734,203671036#0,3.399317307840953,4155,0.0,14.0,86.0,341.0,1086.0,1772.0,2166.0,2515.0,3030.0,3485.0
-401644797,14580806#4,10.298718793687378,10001,7.0,50.0,235.0,735.0,1618.0,2840.0,4393.0,5885.0,7155.0,8183.0
29026696#1,-23231510#1,2.5196786780177125,1066,4.0,8.0,28.0,68.0,118.0,206.0,331.0,453.0,560.0,698.0
145038657#0,-52008011#1,1.5661612465429229,1720,7.0,24.0,67.0,145.0,238.0,341.0,454.0,596.0,748.0,905.0
1092670931#3,-156964938,10.500878841387404,9997,3.0,16.0,122.0,473.0,1018.0,1690.0,2392.0,3121.0,3856.0,4563.0
25303226,1096344364#0,1.9675879050830625,7826,251.0,701.0,1538.0,2403.0,3417.0,4364.0,5247.0,5955.0,6492.0,6906.0
-378950430#9,274928868,1.7798158956070491,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-55641550#6,-59547535#3,1.8790115499710969,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211285108#0,537191925#0-AddedOnRampEdge,2.102937942767328,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26626092,141209709#1,2.821880029666288,5639,74.0,698.0,2542.0,3623.0,4318.0,4879.0,5250.0,5418.0,5503.0,5588.0
-30337183#2,274572885,2.1606645418693544,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
353028462#0,342649440#2-AddedOffRampEdge,30.1012288404888,10001,1.0,1.0,50.0,528.0,1987.0,4369.0,6542.0,8061.0,8927.0,9447.0
196204239#0,24552235,1.3150557165311365,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41427654,62253979#1-AddedOnRampEdge,21.735144895468096,10001,1.0,2.0,31.0,208.0,710.0,1500.0,2435.0,3485.0,4608.0,5773.0
183876915#0,286609082#0,0.9458920709533292,312,11.0,34.0,61.0,92.0,120.0,157.0,198.0,244.0,274.0,292.0
-25802990#1,949167488,5.354119473064847,7690,268.0,1579.0,2910.0,3663.0,4178.0,4463.0,4605.0,4654.0,4674.0,4758.0
24526859,350878471,0.6933065304392709,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
274074305#0,274433578,18.44311275125239,10001,1.0,1.0,11.0,53.0,240.0,619.0,1282.0,2242.0,3553.0,4954.0
-44074555#0,60699028#0,0.8888479824893836,474,7.0,13.0,32.0,75.0,129.0,205.0,291.0,380.0,421.0,458.0
-900439225#0,378108605,2.0619143522419985,97,6.0,8.0,10.0,10.0,10.0,18.0,24.0,30.0,30.0,30.0
36723555,186120827#0,0.4547173457216792,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50097371,-25133812,6.156781716864062,9982,861.0,2959.0,5462.0,7887.0,9271.0,9834.0,9964.0,9982.0,9982.0,9982.0
95111067,-170130525,1.2258434494821226,1121,34.0,78.0,116.0,236.0,445.0,591.0,716.0,921.0,1023.0,1066.0
24692878#0,-42777816,1.4047515368101458,1556,7.0,19.0,43.0,118.0,212.0,492.0,641.0,962.0,1125.0,1326.0
-196204263#1,377388793,6.07758866049747,9681,76.0,374.0,1222.0,2739.0,4505.0,5886.0,6876.0,7708.0,8587.0,9146.0
4968774,248637556,2.231184511154153,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264612106#0,32059406,8.230906536405772,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250732283#0,370461996#0,20.121158782098465,10001,1.0,2.0,44.0,337.0,1102.0,2464.0,3985.0,5513.0,6820.0,7888.0
668139707,24754174#1,3.2325135155268594,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-374296236#1,-339710341,8.662522796301067,9999,39.0,195.0,506.0,1338.0,2725.0,4625.0,6443.0,7861.0,8789.0,9355.0
