,origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
0,272783623#0,286609080,1.0180386982226524,158,8.0,12.0,24.0,20.0,23.0,14.0,15.0,17.0,11.0,8.0
1,95111031,246809608#0,10.57865112450651,9993,1.0,29.0,259.0,613.0,862.0,1029.0,980.0,868.0,723.0,664.0
2,386676734,203671036#0,3.399317307840953,4155,0.0,14.0,72.0,255.0,745.0,686.0,394.0,349.0,515.0,455.0
3,-401644797,14580806#4,10.298718793687378,10001,7.0,43.0,185.0,500.0,883.0,1222.0,1553.0,1492.0,1270.0,1028.0
4,29026696#1,-23231510#1,2.5196786780177125,1066,4.0,4.0,20.0,40.0,50.0,88.0,125.0,122.0,107.0,138.0
5,145038657#0,-52008011#1,1.5661612465429229,1720,7.0,17.0,43.0,78.0,93.0,103.0,113.0,142.0,152.0,157.0
6,1092670931#3,-156964938,10.500878841387404,9997,3.0,13.0,106.0,351.0,545.0,672.0,702.0,729.0,735.0,707.0
7,25303226,1096344364#0,1.9675879050830625,7826,251.0,450.0,837.0,865.0,1014.0,947.0,883.0,708.0,537.0,414.0
8,-378950430#9,274928868,1.7798158956070491,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-55641550#6,-59547535#3,1.8790115499710969,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,211285108#0,537191925#0-AddedOnRampEdge,2.102937942767328,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,26626092,141209709#1,2.821880029666288,5639,74.0,624.0,1844.0,1081.0,695.0,561.0,371.0,168.0,85.0,85.0
12,-30337183#2,274572885,2.1606645418693544,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,353028462#0,342649440#2-AddedOffRampEdge,30.1012288404888,10001,1.0,0.0,49.0,478.0,1459.0,2382.0,2173.0,1519.0,866.0,520.0
14,196204239#0,24552235,1.3150557165311365,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,41427654,62253979#1-AddedOnRampEdge,21.735144895468096,10001,1.0,1.0,29.0,177.0,502.0,790.0,935.0,1050.0,1123.0,1165.0
16,183876915#0,286609082#0,0.9458920709533292,312,11.0,23.0,27.0,31.0,28.0,37.0,41.0,46.0,30.0,18.0
17,-25802990#1,949167488,5.354119473064847,7690,268.0,1311.0,1331.0,753.0,515.0,285.0,142.0,49.0,20.0,84.0
18,24526859,350878471,0.6933065304392709,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,274074305#0,274433578,18.44311275125239,10001,1.0,0.0,10.0,42.0,187.0,379.0,663.0,960.0,1311.0,1401.0
20,-44074555#0,60699028#0,0.8888479824893836,474,7.0,6.0,19.0,43.0,54.0,76.0,86.0,89.0,41.0,37.0
21,-900439225#0,378108605,2.0619143522419985,97,6.0,2.0,2.0,0.0,0.0,8.0,6.0,6.0,0.0,0.0
22,36723555,186120827#0,0.4547173457216792,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,50097371,-25133812,6.156781716864062,9982,861.0,2098.0,2503.0,2425.0,1384.0,563.0,130.0,18.0,0.0,0.0
24,95111067,-170130525,1.2258434494821226,1121,34.0,44.0,38.0,120.0,209.0,146.0,125.0,205.0,102.0,43.0
25,24692878#0,-42777816,1.4047515368101458,1556,7.0,12.0,24.0,75.0,94.0,280.0,149.0,321.0,163.0,201.0
26,-196204263#1,377388793,6.07758866049747,9681,76.0,298.0,848.0,1517.0,1766.0,1381.0,990.0,832.0,879.0,559.0
27,4968774,248637556,2.231184511154153,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,264612106#0,32059406,8.230906536405772,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,250732283#0,370461996#0,20.121158782098465,10001,1.0,1.0,42.0,293.0,765.0,1362.0,1521.0,1528.0,1307.0,1068.0
30,668139707,24754174#1,3.2325135155268594,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-374296236#1,-339710341,8.662522796301067,9999,39.0,156.0,311.0,832.0,1387.0,1900.0,1818.0,1418.0,928.0,566.0
32,-302251249#2,-148958918#3,4.659024920994191,7784,539.0,1462.0,1673.0,1672.0,1071.0,522.0,272.0,164.0,111.0,85.0
33,668139707,26192705#3,5.429266451092423,4510,59.0,238.0,230.0,871.0,803.0,360.0,398.0,410.0,289.0,237.0
34,-900439225#2,624242875,1.4029764575387738,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,264430286#0,-78009545#2,8.594234143151564,10001,2.0,39.0,317.0,852.0,1256.0,1475.0,1409.0,1271.0,1022.0,836.0
36,-267022269,-34761131#7,19.55520290096077,10001,1.0,1.0,57.0,268.0,776.0,1195.0,1461.0,1340.0,1192.0,1001.0
37,447706830,565727007#3,10.52063061467879,9984,52.0,277.0,677.0,1026.0,1304.0,1299.0,1163.0,1100.0,936.0,736.0
38,662872415,849448258#2,6.894989684588439,6313,363.0,562.0,1041.0,1409.0,1038.0,736.0,460.0,306.0,181.0,102.0
39,-183217907#1,-236789965,9.049804521434446,10001,96.0,324.0,515.0,715.0,982.0,1186.0,1198.0,1196.0,1107.0,873.0
40,-252472885#0,-1028638193,1.091071669568114,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
