origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
-172410734#3,299891425,3.102346289282591,165.0,964.0,2250.0,3443.0,4850.0,6538.0,8027.0,9344.0,10455.0,11270.0,12667
-663713792#3,849448259,7.236446514745473,766.0,2611.0,5343.0,7912.0,9781.0,11134.0,11965.0,12428.0,12645.0,12736.0,12770
336986509#0,711685592,2.61393939126431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
4969364,274928868,6.884907308177318,112.0,1022.0,3087.0,5111.0,6687.0,7893.0,8987.0,10003.0,10794.0,11321.0,11910
37130676#0,26603867#0,7.324328831435795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
482872379#0,173301743#0,4.579168880685587,1.0,16.0,187.0,754.0,2036.0,4046.0,6477.0,8884.0,10990.0,12580.0,15001
15243268#0,243486279#0,1.730409339091339,9.0,16.0,24.0,52.0,118.0,190.0,288.0,489.0,755.0,1113.0,5819
587824506,-52026993,4.046627174452123,68.0,429.0,1229.0,2475.0,3941.0,5222.0,5940.0,6502.0,7156.0,7651.0,8203
-323217245#3,46845014,11.322117975158186,1.0,17.0,190.0,826.0,2018.0,3794.0,5735.0,7454.0,8697.0,9851.0,15001
62232937,258085875#0,1.5036921028378156,2.0,6.0,16.0,29.0,46.0,76.0,99.0,125.0,152.0,184.0,656
30336752#4,23105500,2.163466429019371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
4011834#0,276956372#0,1.0468397909491105,36.0,202.0,550.0,963.0,1470.0,2012.0,2501.0,2883.0,3161.0,3334.0,3467
277614497,320794593,1.0372546415872068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
29026870,32064990,21.37926319442227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
34089975,286813866#0,9.9541724535961,28.0,247.0,895.0,2055.0,3549.0,5214.0,6932.0,8626.0,10257.0,11541.0,15001
488708220,-267022263,11.899008655574868,39.0,378.0,1369.0,2613.0,4054.0,5463.0,6803.0,8068.0,9155.0,10088.0,14175
370461996#0,284577714#1-AddedOnRampEdge,3.516470007084076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
32870563,45245805#1,1.2808744731298658,53.0,168.0,393.0,800.0,1257.0,1679.0,1932.0,2105.0,2230.0,2319.0,2417
48820365#0,1082019568,5.771885278154632,131.0,985.0,2263.0,3936.0,5672.0,6872.0,7819.0,8477.0,8900.0,9148.0,11742
26438214,44722500#0,8.09935177806146,54.0,504.0,2179.0,4820.0,7613.0,10028.0,11933.0,13232.0,14046.0,14511.0,14964
-54358748#5,418138656,0.8318504118951664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
