,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
0,-172410734#3,299891425,3.102346289282591,165.0,799.0,1286.0,1193.0,1407.0,1688.0,1489.0,1317.0,1111.0,815.0,12667
1,-663713792#3,849448259,7.236446514745473,766.0,1845.0,2732.0,2569.0,1869.0,1353.0,831.0,463.0,217.0,91.0,12770
2,336986509#0,711685592,2.61393939126431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,4969364,274928868,6.884907308177318,112.0,910.0,2065.0,2024.0,1576.0,1206.0,1094.0,1016.0,791.0,527.0,11910
4,37130676#0,26603867#0,7.324328831435795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,482872379#0,173301743#0,4.579168880685587,1.0,15.0,171.0,567.0,1282.0,2010.0,2431.0,2407.0,2106.0,1590.0,15001
6,15243268#0,243486279#0,1.730409339091339,9.0,7.0,8.0,28.0,66.0,72.0,98.0,201.0,266.0,358.0,5819
7,587824506,-52026993,4.046627174452123,68.0,361.0,800.0,1246.0,1466.0,1281.0,718.0,562.0,654.0,495.0,8203
8,-323217245#3,46845014,11.322117975158186,1.0,16.0,173.0,636.0,1192.0,1776.0,1941.0,1719.0,1243.0,1154.0,15001
9,62232937,258085875#0,1.5036921028378156,2.0,4.0,10.0,13.0,17.0,30.0,23.0,26.0,27.0,32.0,656
10,30336752#4,23105500,2.163466429019371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,4011834#0,276956372#0,1.0468397909491105,36.0,166.0,348.0,413.0,507.0,542.0,489.0,382.0,278.0,173.0,3467
12,277614497,320794593,1.0372546415872068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,29026870,32064990,21.37926319442227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,34089975,286813866#0,9.9541724535961,28.0,219.0,648.0,1160.0,1494.0,1665.0,1718.0,1694.0,1631.0,1284.0,15001
15,488708220,-267022263,11.899008655574868,39.0,339.0,991.0,1244.0,1441.0,1409.0,1340.0,1265.0,1087.0,933.0,14175
16,370461996#0,284577714#1-AddedOnRampEdge,3.516470007084076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,32870563,45245805#1,1.2808744731298658,53.0,115.0,225.0,407.0,457.0,422.0,253.0,173.0,125.0,89.0,2417
18,48820365#0,1082019568,5.771885278154632,131.0,854.0,1278.0,1673.0,1736.0,1200.0,947.0,658.0,423.0,248.0,11742
19,26438214,44722500#0,8.09935177806146,54.0,450.0,1675.0,2641.0,2793.0,2415.0,1905.0,1299.0,814.0,465.0,14964
20,-54358748#5,418138656,0.8318504118951664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,25802990#0,-259714470#2,3.36967804213348,26.0,106.0,303.0,618.0,879.0,993.0,1095.0,1078.0,978.0,825.0,9104
22,-302022998,191701578#0,1.3450616913291409,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6
23,77767390#1,24813789#2,10.134992376436417,2.0,36.0,196.0,565.0,1109.0,1443.0,1621.0,1604.0,1580.0,1598.0,15001
24,30337183#2,44128866,28.787531207874785,1.0,4.0,151.0,831.0,1954.0,2434.0,2537.0,2169.0,1748.0,1218.0,15001
25,353017629#0,282680823#0,2.297328936665912,66.0,433.0,1007.0,1404.0,1276.0,1100.0,1067.0,959.0,821.0,657.0,9706
26,196208763,52878164#1,1.117364733019948,6.0,2.0,2.0,8.0,2.0,4.0,2.0,2.0,0.0,0.0,28
27,-457204631#2,349789157#0,1.4949576840384504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28,201508721#0,-375698425#1,0.9147162899102802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29,-332644918#4,236789965,11.546038129139005,7.0,40.0,223.0,718.0,1509.0,2097.0,2125.0,1744.0,1296.0,1172.0,15000
30,-251320263#1,32557761#0,1.2170332924867129,14.0,30.0,91.0,257.0,318.0,485.0,457.0,508.0,476.0,472.0,4319
31,-900439225#0,-697306707,1.6751619551481636,5.0,4.0,17.0,8.0,0.0,0.0,0.0,0.0,4.0,3.0,176
32,273078035,722583957,13.66419808459914,25.0,399.0,985.0,1596.0,1725.0,1369.0,1396.0,1388.0,1354.0,1381.0,14995
33,4969364,379064177,4.0334649050779845,114.0,356.0,305.0,35.0,63.0,202.0,331.0,346.0,896.0,1504.0,4799
34,210213560#0,30336753#0,11.324875315899424,2.0,58.0,321.0,804.0,1281.0,1755.0,2077.0,1921.0,1665.0,1359.0,14992
35,944315264,273368832#0,1.2241603804057577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,-35272281#3,1051205980#0,21.623566342389907,1.0,10.0,118.0,457.0,784.0,1124.0,1554.0,1695.0,1633.0,1586.0,15001
37,120066566,-59310707,27.06102893647425,1.0,1.0,44.0,373.0,959.0,1594.0,2163.0,2366.0,2399.0,1983.0,15001
