origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
37063199#0,-160615594#1,0.5395994770819148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.144773591727041
168734385#0,400738632#0,2.066558594164822,208.0,885.0,2263.0,4179.0,5978.0,7058.0,7708.0,8241.0,8719.0,8986.0,9173,0.7143512120380635
-926309945,275262133,13.712626467821265,1.0,1.0,42.0,206.0,671.0,1409.0,2294.0,3289.0,4224.0,5225.0,10001,0.9577628324081435
263347690#0,-265317023#2,14.501711636721453,1.0,2.0,57.0,322.0,954.0,1931.0,3222.0,4539.0,5658.0,6671.0,10001,0.9605970968622464
24692888#0,23634535#0,8.01937992647649,1.0,6.0,77.0,414.0,1349.0,2792.0,4438.0,6062.0,7433.0,8440.0,10001,0.5019675295456106
272654787#0,26702701#0,1.6958100156257103,56.0,157.0,257.0,348.0,454.0,554.0,676.0,810.0,939.0,1068.0,2590,0.4692623345703823
272654787#0,-40012050#1,1.9845386392545583,42.0,354.0,985.0,1647.0,2622.0,3709.0,4719.0,5520.0,6074.0,6431.0,7256,0.7994714075882844
-5110309#2,272651839#0,1.8884509360197497,4.0,8.0,29.0,55.0,109.0,184.0,263.0,362.0,454.0,589.0,4169,0.5135347509792817
285197074#0,272654787#0,1.3341795015033524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.3889315279279129
273260698#0,168734385#0,1.9956318573725431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.780871398174355
-926309945,-271462291#2,9.443691268872204,3.0,105.0,462.0,1080.0,2031.0,3196.0,4371.0,5527.0,6526.0,7372.0,10001,0.5760363749337692
8154591#0,7980203#0,3.945277975551186,60.0,298.0,649.0,1179.0,1847.0,2644.0,3488.0,4456.0,5321.0,6175.0,10001,0.6114223315722285
202050743,24359728,5.8775333245814805,7.0,112.0,562.0,1671.0,3436.0,5253.0,6869.0,7982.0,8786.0,9338.0,10001,0.31538565756745396
168734365#0,252418522#0,3.499371319379393,69.0,299.0,915.0,1915.0,3271.0,4733.0,6121.0,7312.0,8256.0,8884.0,10001,0.5459814673445108
183876914#0,286583306#0,2.0478854533359536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.6643362600879305
288922902#0,277313731#0,5.042385495540344,26.0,138.0,444.0,977.0,1654.0,2446.0,3240.0,3973.0,4637.0,5265.0,10001,0.7564290163855917
23118985#0,24692888#0,4.0173457737924725,7.0,58.0,188.0,520.0,1118.0,2022.0,3170.0,4535.0,5875.0,7161.0,9892,0.1976333941335158
7980623#0,41773063#0,2.1444557471347494,178.0,756.0,1816.0,3020.0,4068.0,4967.0,5545.0,5876.0,6050.0,6136.0,6213,0.7384551637894613
-24599250#1,-264517782#1,6.056725411119963,4.0,82.0,321.0,802.0,1450.0,2216.0,3000.0,3838.0,4806.0,5801.0,10001,0.30847075614889524
