origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
197448006,124643416#2,10.911460212393427,17.0,149.0,450.0,1007.0,1790.0,2737.0,3942.0,5275.0,6737.0,8109.0,15001
164719711#0,29267926,0.7554046037067161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
100968568,40726920#6,14.056928339834904,1.0,13.0,123.0,455.0,1183.0,2425.0,4343.0,6668.0,8922.0,10734.0,15001
-27340254#0,-1071661242,1.3520693620649196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27806634,48996848,2.4484044769800573,449.0,1501.0,3120.0,4959.0,6952.0,8817.0,10385.0,11417.0,12162.0,12653.0,14185
105003382,-27856820#3,1.013150850468172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27318433,24392110,8.509085889987348,179.0,533.0,1136.0,1653.0,2135.0,2763.0,3453.0,4233.0,5251.0,6546.0,15001
-123974277#10,-24391388,0.8379198118362553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27921142,164719711#11,7.601895390448746,2.0,23.0,156.0,753.0,1989.0,3835.0,5976.0,8065.0,9924.0,11521.0,15001
-29267812#3,-27186946,19.75955676689885,1.0,1.0,5.0,71.0,388.0,1133.0,2311.0,3864.0,5547.0,7313.0,15001
28686628#3,-1015477919,0.7741219570644693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
164719711#0,-22897852#3,2.2903761768080915,3.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8
-224494290,128321241#2,16.705548999024273,1.0,1.0,5.0,43.0,222.0,721.0,1778.0,3421.0,5415.0,7569.0,15001
-102613795#1,-1122924583#3,9.405279312336605,1.0,6.0,45.0,152.0,387.0,762.0,1371.0,2186.0,3276.0,4520.0,15001
133369682,121997939#3,1.096024289095329,3.0,5.0,9.0,19.0,32.0,51.0,73.0,103.0,138.0,163.0,545
143415281#0,-23946407,10.130448061519278,1.0,5.0,70.0,387.0,1268.0,2925.0,4974.0,7183.0,9290.0,10966.0,15001
-50639429,122763953#0,1.031103820787753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
164719711#0,128364005,1.558943041087549,3.0,4.0,6.0,8.0,11.0,19.0,24.0,34.0,42.0,43.0,43
203672999#1,164719711#12,11.82555180438389,1.0,3.0,30.0,128.0,401.0,958.0,1736.0,2735.0,4060.0,5534.0,15001
43129262,50639430,1.161797294807977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-50640017,-212517335,0.8497562325125247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
30966481,164719711#11,9.2679353302,115.0,828.0,2283.0,4205.0,6234.0,8049.0,9588.0,10909.0,11986.0,12734.0,14432
543948213,27864618,1.5367581485528792,3.0,9.0,32.0,62.0,156.0,317.0,506.0,650.0,761.0,814.0,2340
-679458128,128321262#0,16.74643551685124,1.0,2.0,4.0,33.0,160.0,586.0,1457.0,2885.0,4679.0,6668.0,15001
32601842,23481754#0,17.5120913140509,218.0,1015.0,2109.0,3755.0,5624.0,7588.0,9199.0,10449.0,11441.0,12167.0,15001
196279823,-51036726,1.1722181634058384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
32601842,74464019#2,15.373568074836072,281.0,1082.0,2273.0,3923.0,5642.0,7267.0,8726.0,9993.0,11126.0,12039.0,14998
33600916#1,76499562,12.953632229421409,1.0,12.0,77.0,381.0,1126.0,2294.0,3780.0,5383.0,6903.0,8364.0,15001
-22897852#3,-903421712,9.001799915555893,2.0,31.0,187.0,621.0,1456.0,2680.0,4373.0,6182.0,8066.0,9795.0,15001
-22897852#3,27896855#0,8.626825844331766,7.0,36.0,146.0,410.0,982.0,1847.0,3057.0,4534.0,6294.0,8008.0,15001
29391219,-24391388,8.572364200938532,36.0,480.0,1529.0,2758.0,4022.0,5311.0,6544.0,7874.0,9201.0,10433.0,14962
123974277#6,-24391309,1.121467650368466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
164752117#1,-476643770#1,8.950054701755013,56.0,493.0,1401.0,2718.0,4215.0,5547.0,6657.0,7653.0,8567.0,9387.0,14996
-142391300#4,680652726#7,0.8086100725845887,61.0,548.0,1269.0,1921.0,2610.0,3186.0,3610.0,3893.0,3999.0,4060.0,4091
572824576#0,27337101,23.654766195702447,1.0,3.0,57.0,279.0,862.0,1861.0,3308.0,4987.0,6854.0,8705.0,15001
-478446663,-190850064,3.939155569425889,98.0,506.0,1196.0,2280.0,3680.0,5206.0,6707.0,7890.0,8823.0,9500.0,10879
25699643,23914020#2,13.920855369500613,1.0,6.0,95.0,555.0,1688.0,3775.0,6264.0,8708.0,10648.0,12159.0,15001
43129262,-123974278,0.8990809939238047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27720828#0,25699711,4.824204414724526,63.0,266.0,639.0,1155.0,2186.0,3473.0,4969.0,6500.0,7856.0,9004.0,14992
