origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
-122372670#2,105351000,11.594479299517358,70.0,184.0,559.0,1313.0,2894.0,5215.0,7697.0,9758.0,11343.0,12462.0,14993,0.30773063004418616
-116574763#7,99440052#0,11.433175539368731,100.0,542.0,1175.0,1875.0,2621.0,3486.0,4572.0,5929.0,7348.0,8756.0,14674,0.3537938701281713
-26944473#4,166716866#0,11.125169348434042,1.0,8.0,76.0,319.0,886.0,1801.0,3018.0,4548.0,6218.0,7901.0,15001,0.7380101206798166
24164250#2,202591022#1,4.046352358565153,5.0,41.0,212.0,596.0,1279.0,2208.0,3276.0,4424.0,5640.0,6792.0,14997,0.7068861766048059
24164250#2,-603411412,3.9434136573149177,28.0,227.0,849.0,1749.0,2921.0,4098.0,5359.0,6799.0,8215.0,9551.0,14951,0.6316065855526115
190502846#3,-143571769#4,9.181526815510487,1.0,8.0,121.0,472.0,1182.0,2287.0,3739.0,5411.0,7144.0,8705.0,15001,0.5865722923676888
28676913#0,200858512#0,1.6533143611031482,59.0,224.0,721.0,1605.0,2831.0,4223.0,5484.0,6413.0,7048.0,7472.0,8278,0.6382534408215854
35741203#0,27896854#1,10.019978053925888,1.0,23.0,187.0,776.0,1826.0,3313.0,4810.0,6305.0,7752.0,9052.0,15001,0.6169588649672814
-192110348#2,34860256#0,3.1363848399362,306.0,1234.0,2690.0,4214.0,5668.0,7280.0,8988.0,10552.0,11831.0,12798.0,14964,0.49259422236149814
26785991#0,24162878#0,4.439228904760423,63.0,290.0,713.0,1380.0,2566.0,4187.0,6291.0,8360.0,10283.0,11824.0,14975,0.6634596097052543
110699722,-124046218#1,3.38807978793437,15.0,231.0,1014.0,2713.0,5038.0,7657.0,10016.0,11857.0,13201.0,14015.0,15000,0.5844785485820633
28096061,99440052#0,21.552695018756765,3.0,22.0,141.0,516.0,1429.0,2629.0,4242.0,6126.0,8121.0,9960.0,15001,0.6909275816446427
227764339#0,876031410#0,26.314418266580084,1.0,1.0,5.0,45.0,219.0,757.0,1786.0,3593.0,5973.0,8502.0,15001,0.8811361390299259
35741203#0,113973904,13.230776715742833,1.0,2.0,54.0,236.0,679.0,1400.0,2386.0,3650.0,5011.0,6385.0,15001,0.9518233265293264
22943369,113973904,9.59338098095783,2.0,19.0,160.0,484.0,1098.0,2039.0,3363.0,4938.0,6575.0,8237.0,15001,0.6012175530452495
24865859#0,26665517#0,1.993170165776511,4.0,9.0,115.0,584.0,1117.0,1509.0,1944.0,2578.0,3482.0,4402.0,9753,0.5255079307463288
28677439#0,-126146476,2.309725825488933,285.0,2709.0,6484.0,9175.0,10375.0,10792.0,10903.0,10928.0,10933.0,10933.0,10933,0.31560694385561117
23914013#3,23338252#0,1.6721232331521387,21.0,128.0,497.0,1236.0,2219.0,3392.0,4632.0,5604.0,6200.0,6548.0,6933,0.5312965681235204
876031410#0,-116574763#7,13.311171833428157,3.0,34.0,200.0,664.0,1508.0,2764.0,4282.0,5929.0,7708.0,9506.0,15001,0.3758427472966151
110699722,292494318#0,4.443857408016631,28.0,199.0,729.0,1749.0,3129.0,4914.0,7000.0,9132.0,10950.0,12324.0,15000,0.7570919533726309
23895836#0,22978888#0,2.511619977845529,22.0,47.0,272.0,1051.0,2206.0,3335.0,4360.0,5239.0,6020.0,6676.0,11113,0.7771685369568528
26785991#0,110699722,3.7474679954732304,157.0,822.0,2107.0,3815.0,5879.0,8068.0,10106.0,11753.0,12959.0,13778.0,14960,0.5412835872283138
113973904,27494708#0,8.772788694727252,1.0,9.0,84.0,396.0,1095.0,2251.0,3779.0,5678.0,7698.0,9633.0,15001,0.5438942484258196
128676656#2,-118569836#4,1.814019731884935,20.0,141.0,506.0,1105.0,2087.0,3237.0,4399.0,5592.0,6562.0,7340.0,9004,0.2655809883149611
247815600#0,128648701,3.085271051532924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.5426800178450917
121464271#0,34860256#0,1.481775419036105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.21222501449072392
184817931#0,27317814,13.238075618403109,1.0,4.0,32.0,148.0,551.0,1195.0,2122.0,3168.0,4325.0,5519.0,15001,0.9627679240291578
27896854#1,113973904,6.071289760472875,10.0,73.0,430.0,1304.0,2653.0,4374.0,6113.0,7917.0,9593.0,11061.0,15001,0.33486446156204486
128665321,28674038#0,2.1257463253506943,136.0,750.0,1939.0,3504.0,5049.0,6524.0,7734.0,8527.0,9106.0,9489.0,9895,0.7848900372802635
278328412#0,-23800711,1.7236315808969798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.48173109668410324
23914013#3,200858512#0,0.7865835154822917,3.0,5.0,8.0,15.0,19.0,23.0,27.0,31.0,32.0,32.0,32,0.2738176282725835
-23800711,463432074#0,1.9664875496838543,53.0,660.0,2470.0,5288.0,8344.0,10509.0,11845.0,12519.0,12815.0,12969.0,13077,0.8344741110196966
247815600#0,-4245346#1,2.33599146473337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.3079042874197838
-4245346#1,184688750,5.174726003747011,45.0,458.0,1451.0,2828.0,4300.0,5752.0,7158.0,8586.0,9816.0,10927.0,15001,0.8042021044787389
1029004063,184817931#0,11.507917311454332,1.0,23.0,178.0,656.0,1816.0,3548.0,5466.0,7291.0,8850.0,10354.0,15001,0.8125763366070152
858876401#0,26592323#0,0.7153941537462433,1.0,2.0,4.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,13,0.05361343921538805
108327352#0,128665321,2.858841100674552,64.0,385.0,1031.0,1927.0,3430.0,5096.0,6961.0,8603.0,10008.0,11117.0,13968,0.9636215694681443
35741203#0,22989573#0,13.0012311090211,2.0,20.0,105.0,330.0,749.0,1529.0,2680.0,3941.0,5322.0,6822.0,15001,0.8670403435999378
209407943,232886171#6,0.7758028114743688,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,0.19382965693150278
191483812#0,27237324,21.23266025794205,1.0,1.0,4.0,51.0,307.0,1021.0,2339.0,4164.0,6308.0,8457.0,15001,0.8010988793976025
24866085#0,22978888#0,2.3416811275914813,15.0,47.0,119.0,316.0,697.0,1439.0,2374.0,3286.0,4097.0,4861.0,9632,0.6359509265409633
34491765#0,227764339#0,11.91204708630539,47.0,320.0,729.0,1313.0,2158.0,3373.0,4901.0,6647.0,8534.0,10273.0,14958,0.3170464173506621
202591022#1,220274291,2.7356390846293244,0.0,135.0,899.0,2514.0,4650.0,6708.0,8552.0,10306.0,11714.0,12767.0,14325,0.4238554557709794
757342085,27374273#1,8.567721435122555,1.0,14.0,147.0,592.0,1350.0,2538.0,4035.0,5736.0,7575.0,9400.0,15001,0.5557929123088262
23914013#3,22885903#1,1.838090467678284,69.0,226.0,694.0,1555.0,2931.0,5001.0,7269.0,9397.0,10969.0,12031.0,13490,0.7797953355087289
-23800711,23914013#3,0.8165604334724282,4.0,11.0,20.0,34.0,53.0,74.0,107.0,162.0,202.0,244.0,511,0.24257358164258294
-122291185,35741203#0,5.256267099836491,37.0,257.0,1046.0,2396.0,4160.0,5935.0,7638.0,9097.0,10363.0,11468.0,15000,0.2598824329790853
-78411474,-52031786#4,20.940865732589245,1.0,3.0,93.0,402.0,1194.0,2414.0,4150.0,6208.0,8429.0,10454.0,15001,0.9812662941301288
-143571769#4,757342085,5.549408788837329,5.0,66.0,425.0,1306.0,2911.0,5148.0,7340.0,9475.0,11209.0,12578.0,14999,0.34256801811407855
22978888#0,23914013#3,1.487201757226614,3.0,19.0,161.0,525.0,1134.0,1735.0,2279.0,2704.0,3105.0,3473.0,4559,0.4538959661300099
-860424997,27931982,13.543032085353856,266.0,836.0,1567.0,2857.0,4478.0,6233.0,7866.0,9326.0,10638.0,11788.0,14790,0.3798351097588033
184817931#0,27374273#1,12.903622821520186,1.0,3.0,54.0,306.0,984.0,2050.0,3326.0,4749.0,6171.0,7638.0,15001,0.9160989702827121
184817931#0,50281042,6.140775103554088,87.0,273.0,709.0,1636.0,2996.0,4752.0,6699.0,8647.0,10311.0,11651.0,15001,0.3380792116847281
876031410#0,230519287#4,16.764562015221703,19.0,71.0,271.0,787.0,1625.0,2731.0,4007.0,5424.0,7051.0,8759.0,15001,0.5049902557694341
-126146476,95644996#1,2.0505321125411204,51.0,197.0,478.0,943.0,1471.0,2180.0,3248.0,4362.0,5923.0,7636.0,9189,0.31632322847216976
86198184#0,27340399#0,8.708708217122943,8.0,75.0,282.0,858.0,1988.0,3852.0,6205.0,8644.0,10773.0,12292.0,15001,0.5796591855021324
232886171#6,23338252#0,1.3153563895661895,8.0,30.0,77.0,162.0,293.0,407.0,634.0,845.0,1061.0,1309.0,2568,0.33627377211885834
-23800711,24865859#0,1.92753550515172,25.0,157.0,482.0,1227.0,2594.0,4167.0,5568.0,6688.0,7323.0,7758.0,8297,0.6239214242601688
128669220#6,757342085,9.4368617663281,1.0,9.0,84.0,311.0,816.0,1706.0,2940.0,4666.0,6674.0,8605.0,15001,0.6129025305833429
22943369,136065305#2,2.1731602491659268,62.0,547.0,1643.0,3224.0,5089.0,6787.0,8157.0,9212.0,10084.0,10752.0,11728,0.12375658902907807
81754940,-118569836#4,2.7884573629244653,203.0,953.0,2198.0,4079.0,6171.0,8152.0,9925.0,11509.0,12817.0,13715.0,14958,0.41026616551164136
247815600#0,128676656#2,1.754982560244538,15.0,61.0,101.0,148.0,199.0,305.0,516.0,879.0,1355.0,1871.0,5133,0.2790169771325652
34860256#0,22885424#0,3.2388237072469304,374.0,1083.0,2420.0,4083.0,5773.0,7469.0,9022.0,10331.0,11271.0,11960.0,13795,0.49739853689296304
27237324,-860424997,12.31875183035731,20.0,204.0,718.0,1622.0,3075.0,5006.0,7124.0,9168.0,10870.0,12199.0,14995,0.3353709263087751
-103271294#1,-27635011,12.724997636450308,1.0,67.0,409.0,1284.0,2445.0,3875.0,5393.0,7034.0,8660.0,10082.0,14993,0.3621817850700938
26801069#2,184688750,3.722759799208892,63.0,325.0,1005.0,2215.0,3790.0,5485.0,7166.0,8644.0,9972.0,11207.0,14984,0.5390952966931251
-23800711,126432001#2,1.1104826173976876,4.0,19.0,45.0,103.0,203.0,364.0,591.0,873.0,1172.0,1402.0,1748,0.3267907867061915
757342085,27494708#0,1.2361849488591692,8.0,40.0,83.0,208.0,313.0,542.0,826.0,1199.0,1530.0,1864.0,3077,0.07502425742691275
22801764#5,223345795#3,11.365418462702124,1.0,25.0,164.0,634.0,1510.0,2978.0,4693.0,6679.0,8528.0,10130.0,15001,0.7136115909310082
-26944473#4,202294089#1,6.280411716148823,59.0,274.0,680.0,1499.0,2590.0,4038.0,5690.0,7475.0,9096.0,10516.0,14984,0.3403228049139549
858876401#0,95644996#1,3.228252042467345,80.0,494.0,1245.0,2379.0,3663.0,5113.0,6823.0,8568.0,10154.0,11418.0,14927,0.5311991074304103
10142191#1,202591022#1,2.6594735891789063,196.0,1472.0,3825.0,6346.0,8497.0,10073.0,11293.0,12111.0,12597.0,12884.0,13646,0.3837250956084615
166716866#0,122599933#2,9.478080811545496,1.0,4.0,85.0,462.0,1322.0,2606.0,4250.0,6077.0,8045.0,9864.0,15001,0.7733411214392305
34491765#0,-94827734#6,20.639452658240845,1.0,1.0,23.0,156.0,536.0,1371.0,2542.0,4064.0,5793.0,7409.0,15001,0.6855404703494616
223345795#3,-27671815,9.903747664978368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.6502458093564676
-121677309,230519287#4,14.780667870800585,40.0,197.0,719.0,1518.0,2614.0,3821.0,5126.0,6460.0,7854.0,9254.0,14981,0.42632619755752277
-27635011,191483812#0,18.22359301543585,20.0,203.0,592.0,1189.0,2074.0,3358.0,5046.0,7202.0,9458.0,11345.0,15001,0.5939544534874385
22890785#1,-424551716#3,3.762581354018821,26.0,184.0,670.0,1547.0,2896.0,4709.0,6725.0,8663.0,10401.0,11834.0,15001,0.5745486499023249
-4245346#1,-124046218#1,3.9299129176722456,44.0,288.0,817.0,1656.0,2766.0,4016.0,5312.0,6680.0,7988.0,9362.0,14974,0.6247483599619179
-612775345#2,22801764#5,5.384369312479319,20.0,174.0,485.0,800.0,1233.0,1781.0,2755.0,3979.0,5391.0,6746.0,15001,0.2854490022879968
23590149#0,144175042#0,0.2020665866533922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.028836188864035106
22978853,-28676357#2,0.5759950710670853,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,7.0,7,0.11888568556556507
192076282,463432074#0,2.4422688378093467,60.0,410.0,1326.0,2456.0,3699.0,4998.0,6334.0,7620.0,9001.0,10112.0,12985,0.8161180749476435
92811445#0,-134473594,3.1912284516695344,40.0,229.0,1006.0,2673.0,5197.0,7321.0,8927.0,10403.0,11580.0,12500.0,14655,0.5253335123616637
-442245186#0,183920511,12.9046370217173,287.0,1123.0,2283.0,3693.0,5155.0,6641.0,8033.0,9455.0,10859.0,12077.0,14659,0.35066213023375276
-126146476,128676656#2,3.869354935252826,65.0,346.0,883.0,1615.0,2588.0,3705.0,5028.0,6542.0,8056.0,9490.0,14996,0.6870392337049546
184817931#0,22989573#0,13.277701312123964,2.0,11.0,80.0,246.0,564.0,1136.0,1971.0,3005.0,4257.0,5471.0,15001,0.91219512547798
26665517#0,22885903#1,1.8856130451003483,70.0,370.0,1097.0,2201.0,3659.0,5352.0,7202.0,9010.0,10530.0,11803.0,14364,0.9239554236374722
236894418#0,22885903#1,1.8849903837032893,10.0,57.0,247.0,650.0,1306.0,2203.0,3302.0,4500.0,5814.0,7227.0,11176,0.5658165798793012
220274291,-124046218#1,4.339494954817121,26.0,261.0,784.0,1788.0,3140.0,4628.0,6061.0,7476.0,8874.0,10152.0,14989,0.7090552917065744
-78411474,34491765#0,7.033405528162318,74.0,539.0,1789.0,3728.0,5707.0,7593.0,9267.0,10746.0,11987.0,12945.0,14979,0.2157248368501366
51081959#0,24164250#2,1.3810076725492046,16.0,38.0,77.0,107.0,184.0,244.0,291.0,340.0,381.0,436.0,525,0.1626888691756273
122185766#0,278328412#0,1.0223795755455092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2744282131023206
22890785#1,220274291,3.501321888936673,361.0,1128.0,2302.0,3869.0,5548.0,7189.0,8781.0,10314.0,11580.0,12646.0,14622,0.558935451657948
